Nume,Categorie,Tip_produs,Pret,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Taxe,Taxe_achizitie,Descriere
Granola la cuptor fara zahar migdale si fulgi de cocos 450g Native Box,Bacanie,product,32.1101,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,241
Gris de gr�u ECO 750g,Fainoase,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,242
Ketchup artizanal Garden Dwarf by Chef Sosin,Sosuri,product,26.6055,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,246
Kola Tonic KOFI TI 330 ml,Bauturi,product,11.0092,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,248
Lechburg Il Frizzante Rose 0.75L,Bauturi alcoolice ,product,41.1765,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,259
Lechburg Pinot Grigio 0.75L,Bauturi alcoolice ,product,41.1765,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,260
Lechburg Sauvignon Blanc 0.75L,Bauturi alcoolice ,product,41.1765,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,261
LICHIOR NUCI SAMARO,Bauturi alcoolice ,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,262
"Liliac Nectar 2016, Muscat Ottonel, 375 ml",Bauturi alcoolice ,product,75.6303,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,263
Liliac Rose Pinot Noir 0.750 ml,Bauturi alcoolice ,product,46.2185,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,264
"Liliac Unexpected 2018, Sauvignon Blanc, 750 ml",Bauturi alcoolice ,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,265
Magiun de prune la ceaun Razvan 320g,Dulceata,product,22.9358,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,269
Martha Galicea Mare 2018,Bauturi alcoolice ,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,270
Masala Chai 100g KofiTi,Bauturi,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,271
Melinis  de visine �n miere 230g,Miere,product,34.8624,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,274
Melinis de afine �n miere 230g,Miere,product,34.8624,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,275
Melinis de catina �n miere 230g,Miere,product,34.8624,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,276
Melinis de gutui �n miere 230g,Miere,product,34.8624,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,277
Melinis de pere �n miere 230g,Miere,product,34.8624,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,279
Melinis de prune �n miere 230g,Miere,product,34.8624,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,280
Melinis de trandafir �n miere 230g,Miere,product,34.8624,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,281
Miere cu polen si propolis 260g,Miere,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,292
Miere de tei biogetica 240g,Miere,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,296
Miez de boabe de cacao Aromes Noir 100g,Snacks,product,18.3486,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,299
Miez de nuca,Nuci,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,300
Miez de nuca kg,Nuci,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,301
Miez de nuca la caserola Razvan 200g,Nuci,product,11.9266,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,302
Mure,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,304
Mustar Ancient One cu vin by Chef Sosin,Sosuri,product,26.6055,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,305
Mustar cu miere Pussy Lover by Chef Sosin,Sosuri,product,26.6055,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,306
Mustar Kinky Dog cu hrean de la Chef Sosin,Sosuri,product,26.6055,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,307
Mustar Macho Tears cu chilli de la Chef Sosin,Sosuri,product,26.6055,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,308
Otet Cerbul Acru de caise 250 ml,Otet Ulei,product,13.7615,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,316
Otet Cerbul Acru de coacaze 250ml,Otet Ulei,product,13.7615,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,317
Otet Cerbul Acru de visine 250ml,Otet Ulei,product,13.7615,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,319
Pachetul cu gustari pentru o cina t�rzie,Cutie cadou,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 19% Bunuri,322
PALINCA CAISE ED LIM,Bauturi alcoolice ,product,210.084,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,328
PALINCA MERE + 2 TOIURI,Bauturi alcoolice ,product,109.2437,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,337
Pasta de rosii,Ingrediente,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,340
Paste spirale cu spanac ECO 400g,Fainoase,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,341
Paste spirale gr�u intergral ECO 400g,Fainoase,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,343
Paste spirale spelta integral ECO 400g,Fainoase,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,344
Paste tagliatelle cu c�nep? ECO 250g,Fainoase,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,346
Paste tagliatelle cu gr�u ECO 250g,Fainoase,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,347
Paste tagliatelle spelta integral ECO 250g,Fainoase,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,352
Pinot Grigio 2018 Galicea Mare,Bauturi alcoolice ,product,36.9748,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,354
Pinot Gris 2016 Galicea Mare,Bauturi alcoolice ,product,32.7731,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,355
Pinot Noir Premium 2017 Villa Vinea,Bauturi alcoolice ,product,42.0168,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,356
Piper,Ingrediente,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,357
Prune,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,358
Prune deshidratate,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,359
Pungi 11*20 cm,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,362
Rachiu de gutui Pater 0.7L,Bauturi alcoolice ,product,163.8655,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,363
Rachiu de mure Pater 0.7L,Bauturi alcoolice ,product,210.084,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,364
Rachiu de pere Pater 0.7L,Bauturi alcoolice ,product,147.0588,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,365
Rachiu de struguri Pater 0.7L,Bauturi alcoolice ,product,142.8571,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,366
Rose Vertigo 2016 Galicea Mare,Bauturi alcoolice ,product,32.7731,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,368
